Module	Section	Sample Name	Source
FastQC	all_sections	COYLE001-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE001-R2_fastqc.zip
FastQC	all_sections	COYLE002-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE002-R2_fastqc.zip
FastQC	all_sections	COYLE003-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE003-R2_fastqc.zip
FastQC	all_sections	COYLE004-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE004-R2_fastqc.zip
FastQC	all_sections	COYLE005-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE005-R2_fastqc.zip
FastQC	all_sections	COYLE006-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE006-R2_fastqc.zip
FastQC	all_sections	COYLE007-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE007-R2_fastqc.zip
FastQC	all_sections	COYLE008-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/COYLE008-R2_fastqc.zip
FastQC	all_sections	LISTON01-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON01-R2_fastqc.zip
FastQC	all_sections	LISTON02-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON02-R2_fastqc.zip
FastQC	all_sections	LISTON03-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON03-R2_fastqc.zip
FastQC	all_sections	LISTON04-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON04-R2_fastqc.zip
FastQC	all_sections	LISTON05-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON05-R2_fastqc.zip
FastQC	all_sections	LISTON06-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/LISTON06-R2_fastqc.zip
FastQC	all_sections	P01-01-A-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-A-R2_fastqc.zip
FastQC	all_sections	P01-01-B-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-B-R2_fastqc.zip
FastQC	all_sections	P01-01-C-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-C-R2_fastqc.zip
FastQC	all_sections	P01-01-D-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-D-R2_fastqc.zip
FastQC	all_sections	P01-01-E-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-E-R2_fastqc.zip
FastQC	all_sections	P01-01-F-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-F-R2_fastqc.zip
FastQC	all_sections	P01-01-G-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-G-R2_fastqc.zip
FastQC	all_sections	P01-01-H-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-01-H-R2_fastqc.zip
FastQC	all_sections	P01-02-A-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-02-A-R2_fastqc.zip
FastQC	all_sections	P01-02-B-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-02-B-R2_fastqc.zip
FastQC	all_sections	P01-02-C-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-02-C-R2_fastqc.zip
FastQC	all_sections	P01-02-D-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/P01-02-D-R2_fastqc.zip
FastQC	all_sections	undetermined-R2	/nfs1/BPP/Spatafora_Lab/gerversk/projects/fun-gi/scratch/undetermined-R2_fastqc.zip
